rank,name,slug,country,points,imageFileName,publicImagePath,imageExists
"1","Jannik Sinner","jannik-sinner","Italy","13450","jannik-sinner.webp","/players/other-players/top-50/jannik-sinner.webp","NO"
"2","Alexander Zverev","alexander-zverev","Germany","8480","alexander-zverev.webp","/players/other-players/top-50/alexander-zverev.webp","NO"
"3","Carlos Alcaraz","carlos-alcaraz","Spain","8160","carlos-alcaraz.webp","/players/other-players/top-50/carlos-alcaraz.webp","NO"
"4","Felix Auger-Aliassime","felix-auger-aliassime","Canada","4740","felix-auger-aliassime.webp","/players/other-players/top-50/felix-auger-aliassime.webp","NO"
"5","Alex de Minaur","alex-de-minaur","Australia","4110","alex-de-minaur.webp","/players/other-players/top-50/alex-de-minaur.webp","NO"
"6","Ben Shelton","ben-shelton","United States","3770","ben-shelton.webp","/players/other-players/top-50/ben-shelton.webp","NO"
"7","Novak Djokovic","novak-djokovic","Serbia","3760","novak-djokovic.webp","/players/other-players/top-50/novak-djokovic.webp","NO"
"8","Daniil Medvedev","daniil-medvedev","Russia","3670","daniil-medvedev.webp","/players/other-players/top-50/daniil-medvedev.webp","NO"
"9","Flavio Cobolli","flavio-cobolli","Italy","3460","flavio-cobolli.webp","/players/other-players/top-50/flavio-cobolli.webp","NO"
"10","Taylor Fritz","taylor-fritz","United States","3365","taylor-fritz.webp","/players/other-players/top-50/taylor-fritz.webp","NO"
"11","Alexander Bublik","alexander-bublik","Kazakhstan","2610","alexander-bublik.webp","/players/other-players/top-50/alexander-bublik.webp","NO"
"12","Jiri Lehecka","jiri-lehecka","Czechia","2510","jiri-lehecka.webp","/players/other-players/top-50/jiri-lehecka.webp","NO"
"13","Casper Ruud","casper-ruud","Norway","2435","casper-ruud.webp","/players/other-players/top-50/casper-ruud.webp","NO"
"14","Andrey Rublev","andrey-rublev","Russia","2380","andrey-rublev.webp","/players/other-players/top-50/andrey-rublev.webp","NO"
"15","Lorenzo Musetti","lorenzo-musetti","Italy","2315","lorenzo-musetti.webp","/players/other-players/top-50/lorenzo-musetti.webp","NO"
"16","Learner Tien","learner-tien","United States","2270","learner-tien.webp","/players/other-players/top-50/learner-tien.webp","NO"
"17","Frances Tiafoe","frances-tiafoe","United States","2230","frances-tiafoe.webp","/players/other-players/top-50/frances-tiafoe.webp","NO"
"18","Jakub Mensik","jakub-mensik","Czechia","2205","jakub-mensik.webp","/players/other-players/top-50/jakub-mensik.webp","NO"
"19","Valentin Vacherot","valentin-vacherot","Monaco","2188","valentin-vacherot.webp","/players/other-players/top-50/valentin-vacherot.webp","NO"
"20","Alejandro Davidovich Fokina","alejandro-davidovich-fokina","Spain","2160","alejandro-davidovich-fokina.webp","/players/other-players/top-50/alejandro-davidovich-fokina.webp","NO"
"21","Luciano Darderi","luciano-darderi","Italy","2125","luciano-darderi.webp","/players/other-players/top-50/luciano-darderi.webp","NO"
"22","Francisco Cerundolo","francisco-cerundolo","Argentina","2060","francisco-cerundolo.webp","/players/other-players/top-50/francisco-cerundolo.webp","NO"
"23","Arthur Fils","arthur-fils","France","1990","arthur-fils.webp","/players/other-players/top-50/arthur-fils.webp","NO"
"24","Tommy Paul","tommy-paul","United States","1975","tommy-paul.webp","/players/other-players/top-50/tommy-paul.webp","NO"
"25","Rafael Jodar","rafael-jodar","Spain","1927","rafael-jodar.webp","/players/other-players/top-50/rafael-jodar.webp","NO"
"26","Karen Khachanov","karen-khachanov","Russia","1780","karen-khachanov.webp","/players/other-players/top-50/karen-khachanov.webp","NO"
"27","Arthur Rinderknech","arthur-rinderknech","France","1723","arthur-rinderknech.webp","/players/other-players/top-50/arthur-rinderknech.webp","NO"
"28","Joao Fonseca","joao-fonseca","Brazil","1710","joao-fonseca.webp","/players/other-players/top-50/joao-fonseca.webp","NO"
"29","Ugo Humbert","ugo-humbert","France","1575","ugo-humbert.webp","/players/other-players/top-50/ugo-humbert.webp","NO"
"30","Alejandro Tabilo","alejandro-tabilo","Chile","1508","alejandro-tabilo.webp","/players/other-players/top-50/alejandro-tabilo.webp","NO"
"31","Tomas Martin Etcheverry","tomas-martin-etcheverry","Argentina","1460","tomas-martin-etcheverry.webp","/players/other-players/top-50/tomas-martin-etcheverry.webp","NO"
"32","Brandon Nakashima","brandon-nakashima","United States","1435","brandon-nakashima.webp","/players/other-players/top-50/brandon-nakashima.webp","NO"
"33","Matteo Arnaldi","matteo-arnaldi","Italy","1399","matteo-arnaldi.webp","/players/other-players/top-50/matteo-arnaldi.webp","NO"
"34","Zizou Bergs","zizou-bergs","Belgium","1340","zizou-bergs.webp","/players/other-players/top-50/zizou-bergs.webp","NO"
"35","Ignacio Buse","ignacio-buse","Peru","1312","ignacio-buse.webp","/players/other-players/top-50/ignacio-buse.webp","NO"
"36","Arthur Fery","arthur-fery","United Kingdom","1297","arthur-fery.webp","/players/other-players/top-50/arthur-fery.webp","NO"
